collection_id,instance_index,machine_id,start_time,end_time,max_cpus,max_memory,max_cpu
330587118384,119,92152625154,1201000000,1800000000,1.9073486328125e-06,0.022125244140625,0.0806884765625
330587240934,300,24270682913,1201000000,1800000000,0.0029029846191406,0.021209716796875,0.0802001953125
330587259428,236,53771542298,1201000000,1503000000,0.0989990234375,0.019561767578125,0.0989990234375
330587259428,659,23749050987,1201000000,1800000000,0.0002155303955078,0.01849365234375,0.0516357421875
330587262052,356,21242380,1201000000,1800000000,0.0,0.0134429931640625,0.13232421875
330587267055,85,256446524505,1201000000,1301000000,0.0007133483886718,0.0006742477416992,0.0098419189453125
330587267055,105,53772267846,1201000000,1800000000,1.9073486328125e-06,0.018524169921875,0.3447265625
330587267055,223,93509986219,1201000000,1389000000,0.0025520324707031,0.0009098052978515,0.0093231201171875
375003929494,267,70538076410,1201000000,1800000000,0.0060348510742187,0.0010929107666015,0.0063934326171875
374675861423,6197,24273428028,1201000000,1800000000,0.00079345703125,0.0013370513916015,0.0008878707885742
330587238433,490,105124143932,1201000000,1447000000,0.0,0.00909423828125,0.0477294921875
375004987196,0,92130754153,1201000000,1207000000,0.0002946853637695,0.0008955001831054,0.0038185119628906
374590363514,298,71982846043,1201000000,1800000000,0.0,0.0055618286132812,0.0777587890625
375004988924,0,70609095181,1201000000,1207000000,0.0,0.0001726150512695,
375004988941,0,86189850177,1201000000,1206000000,0.0,0.0022354125976562,
104894341832,2,68665583694,1201000000,1800000000,0.0,0.0018062591552734,0.0380859375
375004992636,0,92072773455,1201000000,1209000000,0.0001697540283203,0.0016212463378906,0.003265380859375
374780821309,1826,72045702658,1201000000,1800000000,0.0875244140625,0.016265869140625,0.0875244140625
374911141136,1330,53819601013,1201000000,1800000000,0.0008068084716796,0.000624656677246,0.0069503784179687
374780813300,1302,24272876719,1201000000,1800000000,0.0,0.0144500732421875,0.1109619140625
330587303641,49,104791294516,1201000000,1373000000,0.0002765655517578,0.0019111633300781,0.019622802734375
330587272057,654,96916043191,1201000000,1800000000,0.0006675720214843,0.021392822265625,0.0806884765625
374909856633,722,23744688102,1201000000,1800000000,0.0007896423339843,0.0013923645019531,0.0704345703125
330587233025,682,92152625154,1201000000,1800000000,0.0002021789550781,0.009307861328125,0.064697265625
330587233025,621,53819601013,1201000000,1800000000,0.146240234375,0.015380859375,0.146240234375
330587213089,264,93519100436,1201000000,1800000000,0.0006179809570312,0.01611328125,0.101318359375
276507686897,53,92073836143,1201000000,1800000000,0.0008735656738281,0.0013904571533203,0.0166015625
276507686897,52,73747258778,1201000000,1800000000,0.0029563903808593,0.001373291015625,0.01715087890625
359852128644,271,24273428028,1201000000,1800000000,2.288818359375e-05,0.0109100341796875,0.2109375
330587217906,0,22620985,1201000000,1316000000,0.0003490447998046,0.0006723403930664,0.01690673828125
330587217906,468,53771542298,1201000000,1500000000,0.1123046875,0.021240234375,0.1123046875
245892529551,15,1579963651,1201000000,1800000000,0.025238037109375,0.052734375,0.028411865234375
212047477406,1446,1578632587,1201000000,1800000000,0.0077056884765625,0.0007076263427734,0.0102996826171875
330587220407,344,55052448740,1201000000,1800000000,0.12890625,0.019989013671875,0.12890625
